"שם האירוע","מועד האירוע","מיקום האירוע","כמות כרטיסים שהוקצו","כמות כרטיסים שנמכרו","סה""כ מכירות בש""ח","סה""כ החזרים בש""ח","סה""כ עמלות בש""ח","סה""כ למוכר בש""ח","סה""כ מזומן"
"מעשה פלאים 27/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"מעשה פלאים 27/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"מעשה פלאים 27/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"מעשה פלאים 27/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"מעשה פלאים 27/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"מעשה פלאים 29/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"מעשה פלאים 29/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"מעשה פלאים 29/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"מעשה פלאים 29/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"מעשה פלאים 29/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"מעשה פלאים 29/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"מעשה פלאים 29/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"מעשה פלאים 29/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"מעשה פלאים 29/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"מעשה פלאים 29/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"מעשה פלאים 29/11","25.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"חטופות 25/11","25.11.2018 21:30","אולם 5",250,1,0,0,0,0,0
"חטופות 25/11","25.11.2018 21:30","אולם 5",250,3,0,0,0,0,0
"שאהבה נפשי 26/11","26.11.2018 21:00","אולם 6",250,4,0,0,0,0,0
"ג'וני אינגליש 26/11","26.11.2018 21:30","אולם 5",250,7,35,0,0,0,35
"מעשה פלאים 27/11","27.11.2018 21:00","אולם 6",250,4,0,0,0,0,0
"ג'וני אינגליש 27/11","27.11.2018 21:30","אולם 5",250,11,163,0,4.2,79.8,79
"שאהבה נפשי 28/11","28.11.2018 21:00","אולם 6",250,4,0,0,0,0,0
"חטופות 28/11","28.11.2018 21:30","אולם 5",250,9,21,0,0,0,21
"מעשה פלאים 29/11","29.11.2018 21:00","אולם 6",250,2,0,0,0,0,0
"חטופות 29/11","29.11.2018 21:30","אולם 5",250,1,0,0,0,0,0
"שאהבה נפשי 1/12","01.12.2018 21:30","אולם 6",250,8,0,0,0,0,0
"ג'וני אינגליש 1/12","01.12.2018 22:00","אולם 5",250,6,81,0,2.8,53.2,25
"כוכב נולד 2/12","02.12.2018 21:00","אולם 5",250,42,352,0,5.25,99.75,147
"חטוף 2.12","02.12.2018 21:30","אולם 6",250,2,42,0,0,0,42
"כוכב נולד 3/12","03.12.2018 21:00","אולם 5",250,11,71,0,0,0,71
"מונטנה 3/12","03.12.2018 21:30","אולם 6",250,4,50,0,1.45,27.55,21
"קומיקס, אפריקה והפנתר השחור","04.12.2018 20:30","אולם 5",250,52,370,0,9,171,190
"מונטנה 4/12","04.12.2018 21:00","אולם 6",250,0,0,0,0,0,0
"כוכב נולד 5/12","05.12.2018 21:00","אולם 5",250,13,102,0,3.35,63.65,35
"חטוף 5/12","05.12.2018 21:30","אולם 6",250,4,21,0,0,0,21
"כוכב נולד 6/12","06.12.2018 21:00","אולם 5",250,15,205,0,6.05,114.95,84
"הבלתי רישמיים","06.12.2018 21:00","אולם 5",250,0,0,0,0,0,0
"הבלתי רישמיים","06.12.2018 21:00","אולם 5",250,0,0,0,0,0,0
"הבלתי רישמיים","06.12.2018 21:00","אולם 5",250,0,0,0,0,0,0
"הבלתי רישמיים","06.12.2018 21:00","אולם 5",250,0,0,0,0,0,0
"הבלתי רישמיים","06.12.2018 21:00","אולם 5",250,0,0,0,0,0,0
"הבלתי רישמיים","06.12.2018 21:00","אולם 5",250,0,0,0,0,0,0
"הבלתי רישמיים","06.12.2018 21:00","אולם 5",250,0,0,0,0,0,0
"הבלתי רישמיים","06.12.2018 21:00","אולם 5",250,0,0,0,0,0,0
"הבלתי רישמיים","06.12.2018 21:00","אולם 5",250,0,0,0,0,0,0
"מונטנה 6/12","06.12.2018 21:30","אולם 6",250,0,0,0,0,0,0
"בונז'ור מיאמי 10/12","10.12.2018 21:00","אולם 5",250,0,0,0,0,0,0
"הבלתי רישמיים","10.12.2018 21:00","אולם 5",250,0,0,0,0,0,0
"הבלתי רישמיים","10.12.2018 21:00","אולם 5",250,0,0,0,0,0,0
"הבלתי רישמיים","10.12.2018 21:00","אולם 5",250,0,0,0,0,0,0
"מלון ארטמיס 10/12","10.12.2018 21:30","אולם 6",250,1,0,0,0,0,0
"הבלתי רישמיים","11.12.2018 20:30","אולם 5",250,73,1178,0,40,760,378
"מלון ארטמיס 11/12","11.12.2018 21:00","אולם 6",250,3,10,0,0,0,10
"בונז'ור מיאמי 13/12","13.12.2018 21:00","אולם 5",250,1,0,0,0,0,0
"מלון ארטמיס 13/12","13.12.2018 21:30","אולם 6",250,13,79,0,3.95,75.05,0
"בונז'ור מיאמי 15/12","15.12.2018 21:30","אולם 5",250,7,42,0,0,0,42
"מלון ארטמיס 15/12","15.12.2018 22:00","אולם 6",250,7,0,0,0,0,0
"וונדר וומן 16/12","16.12.2018 21:00","אולם 6",250,0,0,0,0,0,0
"הנערה ברשת העכביש 16/12","16.12.2018 21:30","אולם 5",250,2,0,0,0,0,0
"וונדר וומן 17/12","17.12.2018 21:00","אולם 6",250,2,0,0,0,0,0
"הנערה ברשת העכביש 17/12","17.12.2018 21:30","אולם 5",250,9,42,0,2.1,39.9,0
"העודף בשבילך 18/12","18.12.2018 19:20","אולם 5",172,172,0,0,0,0,0
"מבול 18/12","18.12.2018 19:20","אולם 6",194,188,0,0,0,0,0
"Life Animated 18/12","18.12.2018 21:45","אולם 5",194,114,0,0,0,0,0
"Snow Cake 18/12","18.12.2018 21:45","אולם 6",194,105,0,0,0,0,0
