"שם האירוע","מועד האירוע","מיקום האירוע","כמות כרטיסים שהוקצו","כמות כרטיסים שנמכרו","סה""כ מכירות בש""ח","סה""כ החזרים בש""ח","סה""כ עמלות בש""ח","סה""כ למוכר בש""ח","סה""כ מזומן"
"צה""ל ב2 ז'נארים: ערב סרטים קצרים 26/3","26.03.2019 20:30","אולם 5",250,11,50,0,0.8,19.2,30
"הכל שבור ורוקד 26.3","26.03.2019 21:00","אולם 6",250,3,42,0,0.84,20.16,21
"אפרו סינמה: SUPA MODO 27/3","27.03.2019 20:30","אולם 5",250,105,0,0,0,0,0
"האוקיינוס שבינינו 27/3","27.03.2019 21:00","אולם 6",250,4,0,0,0,0,0
"סיפור אחר 28/3","28.03.2019 21:00","אולם 6",250,7,109,0,1.68,40.32,67
"הכל שבור ורוקד 28/3","28.03.2019 21:30","אולם 6",250,0,0,0,0,0,0
"סיפור אחר 30/4","30.03.2019 21:30","אולם 5",250,4,50,50,2,-2,0
"הכל שבור ורוקד 30/3","30.03.2019 22:00","אולם 6",250,0,0,0,0,0,0
"לצוד את האויב 31.3","31.03.2019 21:00","אולם 6",250,5,42,0,0,0,42
"מרדף קר 31.3","31.03.2019 21:30","אולם 5",250,0,0,0,0,0,0
"לצוד את האויב 1/4","01.04.2019 21:00","אולם 6",250,6,126,0,3.36,80.64,42
"מרדף קר 1/4","01.04.2019 21:30","אולם 5",250,12,88,0,2.68,64.32,21
"הארץ מעבר להרים 2/4","02.04.2019 20:30","אולם 6",250,72,690,0,18.8,451.2,220
"האישה 2/4","02.04.2019 21:00","אולם 6",250,4,0,0,0,0,0
"חותם - מוטלים בספק","03.04.2019 20:15","אולם 6",250,135,0,0,0,0,0
"לצוד את האויב 3/4","03.04.2019 21:00","אולם 6",250,2,0,0,0,0,0
"מרדף קר 4/4","04.04.2019 21:00","אולם 5",250,1,0,0,0,0,0
"האישה 4/4","04.04.2019 21:30","אולם 6",250,4,46,0,1.84,44.16,0
"האישה 6/4","06.04.2019 21:30","אולם 6",250,1,29,0,0,0,29
"מרדף קר 6/4","06.04.2019 22:00","אולם 5",250,0,0,0,0,0,0
"מה גברים רוצים 7/4","07.04.2019 21:00","אולם 5",250,24,136,0,3.36,80.64,52
"ילדות רעות 7.4","07.04.2019 21:30","אולם 6",250,21,273,0,10.08,241.92,21
"מה גברים רוצים 8/5","08.04.2019 21:00","אולם 5",250,4,63,0,0,0,63
"המועדון לספרות יפה של הגברת ינקלובה 8.4","08.04.2019 21:30","אולם 5",250,1,0,0,0,0,0
"סרט ערבי: Wajib","10.04.2019 20:00","אולם 6",250,0,0,0,0,0,0
"ילדות רעות 10/4","10.04.2019 21:00","אולם 6",250,6,42,0,1.68,40.32,0
"המועדון לספרות יפהשל הגב' ינקלובה 10/4","10.04.2019 21:30","אולם 5",250,2,21,0,0.84,20.16,0
"מה גברים רוצים 11/4","11.04.2019 21:00","אולם 5",250,9,71,0,2.84,68.16,0
"המועדון לספרות יפה של הגברת ינקלובה 11.4","11.04.2019 21:30","אולם 5",250,0,0,0,0,0,0
"מה גברים רוצים 13/4","13.04.2019 21:30","אולם 5",250,10,0,0,0,0,0
"המועדון לספרות יפה של הגברת ינקלובה 13/4","13.04.2019 22:00","אולם 5",250,5,46,0,1,24,21
"לפני שרגליי נוגעות בקרקע 28/4","28.04.2019 20:30","אולם 6",250,27,260,0,10,240,10
"ילד יפה 28/4","28.04.2019 21:00","אולם 6",250,1,0,0,0,0,0
"קפטן מארוול 29/4","29.04.2019 21:00","אולם 5",250,35,477,0,16.56,397.44,63
"משחקי הכס- עונה 8 פרק 3","29.04.2019 22:00","אולם 5",252,252,0,0,0,0,0
"קפטן מארוול 4/5","04.05.2019 21:30","אולם 5",250,38,302,0,5.88,141.12,155
"ילד יפה 4/5","04.05.2019 22:00","אולם 6",250,1,0,0,0,0,0
"החיים האלה 5/5","05.05.2019 21:00","אולם 6",250,0,0,0,0,0,0
"קפטן מארוול 5/5","05.05.2019 21:30","אולם 5",250,9,96,0,2.68,64.32,29
"קפטן מארוול 6/5","06.05.2019 21:00","אולם 5",250,10,0,0,0,0,0
"משחקי הכס עונה 8 פרק 4","06.05.2019 22:00","אולם 5",250,245,0,0,0,0,0
"קפטן מארוול 11.5","11.05.2019 21:30","אולם 5",250,9,100,0,4,96,0
"החיים האלה 11/5","11.05.2019 22:00","אולם 6",250,1,14,0,0.56,13.44,0
"גם כשעיני פקוחות (שגרירי רוטשילד ותכנית עמיתים)","12.05.2019 20:30","אולם 6",220,86,665,0,22.44,538.56,97.7
"שהאזאם! 12.5","12.05.2019 21:00","אולם 5",250,24,67,0,0,0,67
"שהאזאם! 13.5","13.05.2019 21:00","אולם 5",250,9,63,0,1.68,40.32,21
"משחקי הכס עונה 8 פרק 5","13.05.2019 22:00","אולם 5",250,237,0,0,0,0,0
"שהאזאם! 14/5","14.05.2019 21:00","אולם 5",250,16,326,0,3.68,88.32,144
"רובין הוד 14/5","14.05.2019 21:30","אולם 6",250,3,0,0,0,0,0
"שהאזאם! 15/5","15.05.2019 21:00","אולם 5",250,19,84,0,1.68,40.32,42
"רובין הוד 15.5","15.05.2019 21:30","אולם 6",250,2,0,0,0,0,0
"מילים נרדפות 19.5","19.05.2019 21:00","אולם 5",250,3,21,0,0.84,20.16,0
"תמונה משפחתית 19/5","19.05.2019 21:30","אולם 6",250,0,0,0,0,0,0
"בוסית בקטנה 20.5","20.05.2019 21:00","אולם 5",250,9,42,0,0,0,42
"משחקי הכס עונה 8 פרק אחרון!","20.05.2019 22:00","אולם 5",250,250,0,0,0,0,0
"אפרוסינימה #4 שחור על לבן","21.05.2019 20:30","אולם 6",250,123,0,0,0,0,0
"תמונה משפחתית 21/5","21.05.2019 21:00","אולם 6",250,4,42,0,1.68,40.32,0
"איגוד הבמאיות: ערב סרטים קצרים 22/5","22.05.2019 20:30","אולם 6",250,13,79,0,1.56,37.44,40
"מילים נרדפות 22/5","22.05.2019 21:00","אולם 5",250,7,67,0,1,24,42
"מילים נרדפות 23.5","23.05.2019 21:00","אולם 5",250,7,62,0,0,0,62
"תמונה משפחתית 23/5","23.05.2019 21:30","אולם 6",250,2,0,0,0,0,0
"בוסית בקטנה 25/5","25.05.2019 21:30","אולם 5",250,4,0,0,0,0,0
"תמונה משפחתית 25/5","25.05.2019 22:00","אולם 6",250,3,14,0,0,0,14
"בוסית בקטנה 26/5","26.05.2019 21:00","אולם 5",250,4,42,0,1.68,40.32,0
"המועמד המוביל 26.5","26.05.2019 21:30","אולם 5",250,9,63,0,0.84,20.16,42
"בוסית בקטנה 27/5","27.05.2019 21:00","אולם 5",250,9,197,0,5.2,124.8,67
"המועמד המוביל 27.5","27.05.2019 21:30","אולם 5",250,0,0,0,0,0,0
"המועמד המוביל 1.6","01.06.2019 21:30","אולם 6",250,0,0,0,0,0,0
"בוסית בקטנה 1/6","01.06.2019 22:00","אולם 5",250,0,0,0,0,0,0
"חנות קטנה ומטריפה: הקרנה פעילה! 2/6","02.06.2019 20:30","אולם 6",250,79,1090,0,36,864,190
"המשפחה שלי 2.6","02.06.2019 21:00","אולם 6",250,6,92,0,3.68,88.32,0
"הספר הירוק 3.6","03.06.2019 21:00","אולם 5",250,31,126,0,4.2,100.8,21
"אור ירח 3.6","03.06.2019 21:30","אולם 6",250,10,84,0,0,0,84
"שמנה - הקרנה ושיחה עם היוצרת","04.06.2019 20:30","אולם 5",200,59,750,50,31.25,560.75,108
"אור ירח 4.6","04.06.2019 21:00","אולם 6",250,10,21,0,0,0,21
"הספר הירוק 5.6","05.06.2019 21:00","אולם 5",250,15,189,0,5.04,120.96,63
"המשפחה שלי 5.6","05.06.2019 21:30","אולם 6",250,4,42,0,1.68,40.32,0
"אור ירח 6.6","06.06.2019 21:00","אולם 6",250,1,29,0,1.16,27.84,0
"הספר הירוק 6.6","06.06.2019 21:30","אולם 5",250,11,152,0,2,48,102
"מה הסיכוי 10.6","10.06.2019 21:00","אולם 5",250,13,0,0,0,0,0
"אהבה כמו שלנו 10.6","10.06.2019 21:30","אולם 6",250,2,50,0,0,0,50
"יונתן אגסי הציל את חיי: בכורה בנגטיב! 11/6","11.06.2019 20:00","אולם 5",250,173,2903,20,100.92,2402.08,370
"אהבה כמו שלנו 11.6","11.06.2019 21:00","אולם 6",250,4,63,0,0,0,21
"מה הסיכוי 13.6","13.06.2019 21:00","אולם 5",250,4,0,0,0,0,0
"אהבה כמו שלנו 13.6","13.06.2019 21:30","אולם 6",250,0,0,0,0,0,0
"מה הסיכוי 15.6","15.06.2019 21:30","אולם 5",250,5,0,0,0,0,0
"אהבה כמו שלנו 15.6","15.06.2019 22:00","אולם 6",250,1,0,0,0,0,0
"נוכלות עם סגנון 16.6","16.06.2019 21:00","אולם 5",250,10,0,0,0,0,0
"120 פעימות בדקה 16.6","16.06.2019 21:30","אולם 6",250,0,0,0,0,0,0
"120 פעימות בדקה 17.06.19","17.06.2019 21:00","אולם 6",250,0,0,0,0,0,0
"יום נפלא 17.6","17.06.2019 21:00","אולם 6",250,3,0,0,0,0,0
"פוקימון: הבלש פיקאצ'ו 17.6","17.06.2019 21:30","אולם 5",250,21,134,0,0.84,20.16,113
"המוסד: טרום בכורה בנגטיב! 18.6","18.06.2019 20:30","אולם 5",250,194,1673,20,59.16,1399.84,194
"יום נפלא 18.6","18.06.2019 21:00","אולם 6",250,2,0,0,0,0,0
"120 פעימות בדקה 19.6","19.06.2019 21:00","אולם 5",250,2,42,0,0,0,42
"נוכלות עם סגנון 19.6","19.06.2019 21:30","אולם 5",250,10,84,0,1.68,40.32,42
"פוקימון: הבלש פיקאצ'ו 20.6","20.06.2019 21:00","אולם 5",250,9,42,0,0.84,20.16,21
"מונדיאל נשים בקולנוע נגטיב FIFA Women's World Cup ","20.06.2019 21:00","אולם 6",250,22,0,0,0,0,0
"נוכלות עם סגנון 22.6","22.06.2019 21:30","אולם 5",250,18,193,0,3.36,80.64,109
"יום נפלא 22.6","22.06.2019 22:00","אולם 6",250,2,0,0,0,0,0
"אל דאגה הוא לא יגיע רחוק ברגל- ראשון 23.06.19","23.06.2019 21:00","אולם 6",250,1,0,0,0,0,0
"ג'ון וויק 3- ראשון 23.06.19","23.06.2019 21:30","אולם 5",250,9,84,0,2.52,60.48,21
"פוקימון: הבלש פיקאצ'ו 24.6","24.06.2019 21:00","אולם 5",250,25,176,0,1.84,44.16,130
"מה יגידו כולם- שני 24.06.19","24.06.2019 21:30","אולם 6",250,4,0,0,0,0,0
"ג'ון וויק 3- שלישי 25.06.19","25.06.2019 21:00","אולם 5",250,12,163,0,3.16,75.84,84
"מה יגידו כולם- שלישי 25.06.19","25.06.2019 21:30","אולם 6",250,4,0,0,0,0,0
"אל דאגה הוא לא יגיע רחוק ברגל- רביעי 26.06.19","26.06.2019 21:00","אולם 6",250,9,21,0,0,0,21
"פוקימון: הבלש פיקאצ'ו 26.6","26.06.2019 21:30","אולם 5",250,24,146,0,1.64,39.36,105
"ג'ון וויק 3- חמישי 27.06.19","27.06.2019 21:00","אולם 5",250,2,0,0,0,0,0
"מה יגידו כולם- חמישי 27.06.19","27.06.2019 21:30","אולם 6",250,2,0,0,0,0,0
"ג'ון וויק 3- מוצ""ש 29.06.19","29.06.2019 21:30","אולם 5",250,6,0,0,0,0,0
"אל דאגה הוא לא יגיע רחוק ברגל- מוצ""ש 29.06.19","29.06.2019 22:00","אולם 6",250,6,0,0,0,0,0
"הנוקמים: סוף המשחק ראשון 30.06.19","30.06.2019 20:30","אולם 5",250,11,113,0,3.68,88.32,21
"מבצע סבתא- ראשון 30.06.19","30.06.2019 21:00","אולם 6",250,0,0,0,0,0,0
"מבצע שלאגר- שני 01.07.19","01.07.2019 21:00","אולם 5",250,13,105,0,3.36,80.64,21
"בן חזר הביתה- שני 01.07.19","01.07.2019 21:30","אולם 6",250,3,63,0,0.84,20.16,42
"הנוקמים: סוף המשחק- שלישי 02.07.19","02.07.2019 20:30","אולם 5",250,21,155,0,3.68,88.32,63
"בן חזר הביתה- שלישי 02.07.19","02.07.2019 21:00","אולם 6",250,4,0,0,0,0,0
"מבצע שלאגר- רביעי 03.07.19","03.07.2019 21:00","אולם 5",250,0,0,0,0,0,0
"מבצע סבתא- רביעי 03.07.19","03.07.2019 21:30","אולם 6",250,4,0,0,0,0,0
"הנוקמים: סוף המשחק- חמישי 04.07.19","04.07.2019 20:30","אולם 5",250,15,63,0,2.52,60.48,0
"בן חזר הביתה- חמישי 04.07.19","04.07.2019 21:00","אולם 6",250,4,56,0,2.24,53.76,0
"הנוקמים: סוף המשחק- מוצ""ש 06.07.19","06.07.2019 21:00","אולם 5",250,14,96,0,1,24,71
"מבצע סבתא- מוצ""ש 06.07.19","06.07.2019 22:00","אולם 6",250,2,0,0,0,0,0
"חורשות את הלילה- ראשון 07.07.19","07.07.2019 21:00","אולם 5",250,2,0,0,0,0,0
"הבן דוד- ראשון 07.07.19","07.07.2019 21:30","אולם 6",250,2,42,0,1.68,40.32,0
"המשחק הגדול- שני 08.07.19","08.07.2019 21:00","אולם 6",250,6,0,0,0,0,0
"רוקטמן- שני 08.07.19","08.07.2019 21:30","אולם 5",250,26,105,0,1.68,40.32,63
"המשחק הגדול- שלישי 09.07.19","09.07.2019 21:00","אולם 6",250,0,0,0,0,0,0
"חורשות את הלילה- שלישי 09.07.19","09.07.2019 21:30","אולם 5",250,8,46,0,0,0,46
"רוקטמן- רביעי 10.07.19","10.07.2019 21:00","אולם 5",250,11,50,0,2,48,0
"הבן דוד- רביעי 10.07.19","10.07.2019 21:30","אולם 6",250,2,0,0,0,0,0
"המשחק הגדול- חמישי 11.07.19","11.07.2019 21:00","אולם 6",250,4,0,0,0,0,0
"חורשות את הלילה- חמישי 11.07.19","11.07.2019 21:30","אולם 5",250,1,0,0,0,0,0
"רוקטמן- מוצ""ש 13.07.19","13.07.2019 21:30","אולם 5",250,31,230,0,4.52,108.48,117
"הבן דוד- מוצ""ש 13.07.19","13.07.2019 22:00","אולם 6",250,0,60,60,2.4,-2.4,0
"אקסמן: הפניקס האפלה- ראשון 14.07.19","14.07.2019 21:00","אולם 5",250,23,168,0,1.68,40.32,126
"המשחק הגדול- ראשון 14.07.19","14.07.2019 21:00","אולם 6",250,6,42,0,1.68,40.32,0
"אקסמן: הפניקס האפלה- שני 15.07.19","15.07.2019 21:00","אולם 5",250,18,107,0,3.28,78.72,25
"הבן דוד- שני 15.07.19","15.07.2019 21:30","אולם 6",250,9,105,0,3.36,80.64,21
"המשחק הגדול- שלישי 16.07.19","16.07.2019 21:00","אולם 6",250,3,0,0,0,0,0
"מורים בהפרעה- שלישי 16.07.19","16.07.2019 21:30","אולם 6",250,2,0,0,0,0,0
"אקסמן: הפניקס האפלה- רביעי 17.07.19","17.07.2019 21:00","אולם 5",250,15,127,0,4.24,101.76,21
"הבן דוד- רביעי 17.07.19","17.07.2019 21:30","אולם 6",250,3,25,0,0,0,25
"אקסמן: הפניקס האפלה- חמישי 18.07.19","18.07.2019 21:00","אולם 5",250,13,125,0,1.84,44.16,79
"מורים בהפרעה- חמישי 18.07.19","18.07.2019 21:30","אולם 6",250,1,0,0,0,0,0
"גברים בשחור: אינטרנשיונל- ראשון 21.07.19","21.07.2019 21:00","אולם 5",250,5,21,0,0.84,20.16,0
"המילה האחרונה- ראשון 21.07.19","21.07.2019 21:30","אולם 6",250,3,0,0,0,0,0
"גברים בשחור: אינטרנשיונל- שני 22.07","22.07.2019 21:00","אולם 5",250,20,21,0,0.84,20.16,0
"תרגיל לשוטרים מתחילים- שני 22.07.19","22.07.2019 21:30","אולם 6",250,0,0,0,0,0,0
"גברים בשחור: אינטרנשיונל- שלישי 23.07.19","23.07.2019 21:00","אולם 5",250,10,54,0,2.16,51.84,0
"המילה האחרונה- שלישי 23.07.19","23.07.2019 21:30","אולם 6",250,12,142,0,0,0,142
"גברים בשחור: אינטרנשיונל- רביעי 24.07.19","24.07.2019 21:00","אולם 5",250,2,29,0,1.16,27.84,0
"תרגיל לשוטרים מתחילים- רביעי 24.07.19","24.07.2019 21:30","אולם 6",250,0,0,0,0,0,0
"משחק ילדים- ראשון 28.07.19","28.07.2019 21:00","אולם 5",250,2,0,0,0,0,0
"זוהי סדום- ראשון 28.07.19","28.07.2019 21:30","אולם 6",250,4,29,0,1.16,27.84,0
"משחק ילדים- שני 29.07.19","29.07.2019 21:00","אולם 5",250,6,0,0,0,0,0
"תרגיל לשוטרים מתחילים- שני 29.07.19","29.07.2019 21:30","אולם 6",250,6,0,0,0,0,0
"משחק ילדים- שלישי 30.07.19","30.07.2019 21:00","אולם 5",250,4,0,0,0,0,0
"זוהי סדום- שלישי 30.07.19","30.07.2019 21:30","אולם 6",250,4,50,0,2,48,0
"משחק ילדים- רביעי 31.07.19","31.07.2019 21:00","אולם 5",250,4,63,0,0.84,20.16,42
"זוהי סדום- רביעי 31.07.19","31.07.2019 21:30","אולם 6",250,0,0,0,0,0,0
"ספיידרמן: השיבה הביתה- שני 05.08","05.08.2019 21:00","אולם 6",250,3,0,0,0,0,0
"משפטו של טד בנדי- שני 05.08.19","05.08.2019 21:30","אולם 5",250,0,0,0,0,0,0
"הגננת- שני 05.08.19","05.08.2019 21:30","אולם 5",250,2,31,0,0.4,9.6,21
"ספיידרמן: השיבה הביתה- שלישי 06.08","06.08.2019 21:00","אולם 6",250,3,0,0,0,0,0
"משפטו של טד בנדי- שלישי 06.08.19","06.08.2019 21:30","אולם 5",250,0,0,0,0,0,0
"הגננת- שלישי 06.08.19","06.08.2019 21:30","אולם 5",250,3,42,0,1.68,40.32,0
"ספיידרמן: השיבה הביתה- רביעי 07.08","07.08.2019 21:00","אולם 6",250,2,0,0,0,0,0
"משפטו של טד בנדי- רביעי 07.08.19","07.08.2019 21:30","אולם 5",250,0,0,0,0,0,0
"הגננת- רביעי 07.08.19","07.08.2019 21:30","אולם 5",250,8,42,0,1.68,40.32,0
"הסרבן- שני 12.08.19","12.08.2019 21:00","אולם 5",250,5,21,0,0,0,21
"החיים הסודיים של חיות המחמד- שני 12.8","12.08.2019 21:30","אולם 6",250,5,0,0,0,0,0
"הסרבן- שלישי 13.08.19","13.08.2019 21:00","אולם 5",250,0,0,0,0,0,0
"החיים הסודיים של חיות המחמד- שלישי 13.8","13.08.2019 21:30","אולם 6",250,5,71,0,0,0,71
"הסרבן- רביעי 14.08.19","14.08.2019 21:00","אולם 5",250,5,28,0,1.12,26.88,0
"החיים הסודיים של חיות המחמד- רביעי 14.8","14.08.2019 21:30","אולם 6",250,4,79,0,3.16,75.84,0
"אושן 8 19.8","19.08.2019 21:00","אולם 5",250,6,50,0,0,0,50
"אפס ביחסי אנוש 19.8","19.08.2019 21:30","אולם 6",250,5,0,0,0,0,0
"אפס ביחסי אנוש 20.8","20.08.2019 21:00","אולם 6",250,2,0,0,0,0,0
"אושן 8 20/8","20.08.2019 21:30","אולם 5",250,0,0,0,0,0,0
"אושן 8 21.8","21.08.2019 21:00","אולם 5",250,0,0,0,0,0,0
"אפס ביחסי אנוש 21.8","21.08.2019 21:30","אולם 6",250,1,0,0,0,0,0
"ספיידרמן: רחוק מהבית- שני 26.08.19","26.08.2019 21:00","אולם 5",250,31,360,0,11.72,281.28,67
"ספיידרמן: רחוק מהבית- שלישי 27.08.19","27.08.2019 21:00","אולם 5",250,25,210,0,3.36,80.64,126
"ספיידרמן: רחוק מהבית- רביעי 28.08.19","28.08.2019 21:00","אולם 5",250,21,184,0,6.36,152.64,25
"כרטיסיית סרטים תש""פ","01.09.2019 20:00","קולנוע נגטיב",5000,78,5005,0,117.2,2812.8,2075
"פאלטס דוכן- אשראי","27.10.2019 10:00","קולנוע נגטיב",5000,13,130,0,5.2,124.8,0
"מלך האריות/ 27.10 The Lion King","27.10.2019 21:00","אולם 5 / Hall 5",250,6,25,0,1,24,0
"מעודדות הזהב / Poms 27.10 ","27.10.2019 21:30","אולם 6 / Hall 6",250,0,0,0,0,0,0
"המין החזק / On the Basis of Sex 28.10","28.10.2019 21:00","אולם 5 / Hall 5",250,0,0,0,0,0,0
"מעודדות הזהב / 28.10 Poms","28.10.2019 21:30","אולם 6 / Hall 6",250,8,0,0,0,0,0
"מלך האריות/ 29.10 The Lion King","29.10.2019 21:00","אולם 5 / Hall 5",250,15,30,0,1.2,28.8,0
"המין החזק / 29.10 On the Basis of Sex","29.10.2019 21:30","אולם 6 / Hall 6",250,2,0,0,0,0,0
"המין החזק / 30.10 On the Basis of Sex","30.10.2019 21:00","אולם 5 / Hall 5",250,0,0,0,0,0,0
"מעודדות הזהב / 30.10 Poms","30.10.2019 21:30","אולם 6 / Hall 6",250,3,0,0,0,0,0
"החבר דב: בכורה בקולנוע נגטיב! הקרנה ושיחה עם דב חנין 3.11","03.11.2019 20:00","אולם 5 / Hall 5",250,239,2620,18,89.4,2127.6,385
"קולט / 3.11 Colette","03.11.2019 21:00","אולם 6 / Hall 6",250,1,0,0,0,0,0
"מלך האריות/ 4.11 The Lion King","04.11.2019 21:00","אולם 5 / Hall 5",250,10,90,0,1.6,38.4,50
"קולט / 4.11 Colette","04.11.2019 21:30","אולם 6 / Hall 6",250,5,30,0,1.2,28.8,0
"13 שעות / 5.11 13Hours","05.11.2019 21:00","אולם 5 / Hall 5",250,0,0,0,0,0,0
"מלך האריות/ 6.11 The Lion King","06.11.2019 21:00","אולם 5 / Hall 5",250,7,40,0,1.6,38.4,0
"קולט / 6.11 Colette","06.11.2019 21:30","אולם 6 / Hall 6",250,1,0,0,0,0,0
"ימים נוראים בנגטיב! 10.11","10.11.2019 19:30","אולם 5 / Hall 5",250,250,3565,13.5,142.6,3408.9,0
"ימים נוראים- אירוע ספייר","10.11.2019 19:30","אולם 5 / Hall 5",250,8,120,0,2,48,70
"13 שעות / 11.11 13 Hours","11.11.2019 21:00","אולם 5 / Hall 5",250,3,0,0,0,0,0
"אישה פנטסטית / 11.11 A Fantastic Woman","11.11.2019 21:30","אולם 6 / Hall 6",250,5,0,0,0,0,0
"טעימה מהחיים 12.11","12.11.2019 20:00","אולם 5",200,130,0,0,0,0,0
"משוגעים מאהבה 12.11","12.11.2019 20:00","אולם 6",200,102,0,0,0,0,0
"העודף בשבילך 12.11","12.11.2019 21:45","אולם 5",200,91,0,0,0,0,0
"קרוב להפליא, רועש להחריד 12.11","12.11.2019 21:45","אולם 6",200,96,0,0,0,0,0
"איש מזל התאומים / 17.11 Gemini Man","17.11.2019 21:00","אולם 5 / Hall 5",250,5,0,0,0,0,0
"אישה פנטסטית / 17.11 A Fantastic Woman","17.11.2019 21:30","אולם 6 / Hall 6",250,1,0,0,0,0,0
"איש מזל התאומים / 18.11 Gemini Man","18.11.2019 21:00","אולם 5 / Hall 5",250,4,25,0,1,24,0
"13 שעות / 18.11 13Hours","18.11.2019 21:30","אולם 6 / Hall 6",250,2,0,0,0,0,0
"אחת ויחידה / 18.11 The Chosen Ones","18.11.2019 21:30","אולם 6 / Hall 6",250,0,0,0,0,0,0
"ליגה ג' בנגטיב: הקרנה ושיחה","19.11.2019 20:30","אולם 5",250,62,0,0,0,0,0
"אחת ויחידה / 19.11 The Chosen Ones","19.11.2019 21:00","אולם 5 / Hall 5",250,5,15,0,0.6,14.4,0
"איש מזל התאומים / 20.11 Gemini Man","20.11.2019 21:00","אולם 5 / Hall 5",250,0,0,0,0,0,0
"איש מזל תאומים 20.11.19 GEMINI MAN","20.11.2019 21:00","אולם 5 / Hall 5",250,3,30,0,1.2,28.8,0
"אחת ויחידה / 20.11 The Chosen Ones","20.11.2019 21:30","אולם 6 / Hall 6",250,4,65,0,2.6,62.4,0
"אירוע סיגד: טיול שורשים לאתיופיה 24/11","24.11.2019 20:30","אולם 5",250,57,0,0,0,0,0
"999 24.11 Triple 9","24.11.2019 21:00","אולם 5 / Hall 5",250,0,0,0,0,0,0
"תיק חיי: אירוע אלימות נגד נשים 25.11","25.11.2019 20:00","אולם 6 / Hall 6",250,3,10,0,0.4,9.6,0
"תיק חיי: יום ציון מאבק באלימות נגד נשים 25/11","25.11.2019 20:30","אולם 6 / Hall 6",250,15,110,0,4,96,10
"השורד 25.11 Arctic","25.11.2019 21:00","אולם 5 / Hall 5",250,5,0,0,0,0,0
"999 25/11 TRIPLE 9","26.11.2019 21:00","אולם 5 / Hall 5",250,1,15,0,0,0,15
"השורד 26.11 ARCTIC","26.11.2019 21:30","אולם 5 / Hall 5",250,2,40,0,1.6,38.4,0
"אבינו 27.11.19","27.11.2019 21:00","אולם 6 / Hall 6",250,5,75,0,3,72,0
"השורד 27.11 ARCTIC","27.11.2019 21:30","אולם 5 / Hall 5",250,7,35,0,1.4,33.6,0
"פרופ' ריזנברג VS ד""ר האוס 1.12","01.12.2019 20:15","אולם 6",250,245,0,0,0,0,0
"999 2.12 Triple 9","02.12.2019 21:00","אולם 5 / Hall 5",250,0,0,0,0,0,0
"אבינו 2.12.19","02.12.2019 21:30","אולם 6 / Hall 6",250,0,0,0,0,0,0
"999 4.12 Triple 9","04.12.2019 21:00","אולם 5 / Hall 5",250,4,0,0,0,0,0
"אבינו 4.12.19","04.12.2019 21:30","אולם 6 / Hall 6",250,2,0,0,0,0,0
"סיפורו של רחוב ביל 8.12 If Beale Street Could Talk","08.12.2019 21:00","אולם 6 / Hall 6",250,4,10,0,0.4,9.6,0
"המתקפה 8.12 Unlocked","08.12.2019 21:30","אולם 5 / Hall 5",250,0,0,0,0,0,0
"סיפורו של רחוב ביל 9.12 If Beale Street Could Talk","09.12.2019 21:00","אולם 6 / Hall 6",250,0,0,0,0,0,0
"המתקפה 9.12 Unlocked","09.12.2019 21:30","אולם 5 / Hall 5",250,0,0,0,0,0,0
"הפרד 10.12 The Mule","10.12.2019 21:00","אולם 5 / Hall 5",250,3,0,0,0,0,0
"סיפורו של רחוב ביל 10.12 If Beale Street Could Talk","10.12.2019 21:30","אולם 6 / Hall 6",250,2,0,0,0,0,0
"מי יאהב אותי עכשיו? בכורה בנגטיב+ שיחה 11.12","11.12.2019 20:00","אולם 5 / Hall 5",250,83,880,0,31.2,748.8,100
"הפרד 15.12 The Mule","15.12.2019 21:00","אולם 5 / Hall 5",250,1,0,0,0,0,0
"המתקפה 15.12 Unlocked","15.12.2019 21:30","אולם 6 / Hall 6",250,3,0,0,0,0,0
"המלאכיות של צ'רלי 17.12 Charlie's Angels","17.12.2019 21:00","אולם 5 / Hall 5",250,3,0,0,0,0,0
"סודות הפרברים 17.12 Suburbicon","17.12.2019 21:30","אולם 6 / Auditorium 6",250,0,0,0,0,0,0
"בשם הבת: הקרנת בכורה ושיחה בנגטיב","18.12.2019 20:30","אולם 5 / Hall 5",250,53,640,0,20.2,484.8,135
"המלאכיות של צ'רלי 22.12 Charlie's Angels","22.12.2019 21:00","אולם 5 / Hall 5",250,3,40,0,1.2,28.8,10
"סודות הפרברים 22.12 Suburbicon","22.12.2019 21:30","אולם 6 / Auditorium 6",250,0,0,0,0,0,0
"המלאכיות של צ'רלי 23.12 Charlie's Angels","23.12.2019 21:00","אולם 5 / Hall 5",250,2,35,0,1.4,33.6,0
"גיבור אמריקאי 23.12 A Family Man","23.12.2019 21:30","אולם 6 / Auditorium 6",250,0,0,0,0,0,0
"אפרוסינמה: הרצאה והקרנה NGO 24.12","24.12.2019 20:00","אולם 6",250,63,0,0,0,0,0
"סודות הפרברים 24.12 Suburbicon","24.12.2019 21:00","אולם 5 / Auditorium 5",250,0,0,0,0,0,0
"ג'וקר 25.12 Joker","25.12.2019 21:00","אולם 5 / Auditorium 5",250,20,185,0,6.2,148.8,30
"גיבור אמריקאי 25.12 A Family Man","25.12.2019 21:30","אולם 6 / Auditorium 6",250,1,15,0,0,0,15
"ג'וקר 29.12 Joker","29.12.2019 21:00","אולם 5 / Auditorium 5",250,37,410,0,8,192,210
