18:13:29.196 INFO  CinemaSystem - addMovie - The operation cannot be completed - the user is not connected to the system 
18:13:29.196 INFO  CinemaSystem - addMovie - User does not have proper permissions 
18:13:29.196 INFO  CinemaSystem - editMovie - The operation cannot be completed - the user is not connected to the system 
18:13:29.197 INFO  CinemaSystem - editMovie - The operation cannot be completed - the user is not connected to the system 
18:13:29.197 INFO  CinemaSystem - editMovie - User does not have proper permissions 
18:13:29.197 INFO  CinemaSystem - removeMovie - The operation cannot be completed - the user is not connected to the system 
18:13:29.197 INFO  CinemaSystem - removeMovie - The operation cannot be completed - the user is not connected to the system 
18:13:29.197 INFO  CinemaSystem - removeMovie - User does not have proper permissions 
18:13:31.922 INFO  CinemaSystem - register - The following data provided is invalid: Permission  
18:13:31.922 INFO  CinemaSystem - register - The following data provided is invalid: Permission  
18:13:31.922 INFO  CinemaSystem - register - The following data provided is invalid: Permission  
18:13:31.927 INFO  ServiceLayer - The registration process failed - the yuval exists on the system. 
18:13:36.437 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:36.437 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:36.437 INFO  CinemaSystem - undefined - User does not have proper permissions 
18:13:36.437 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:36.437 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:36.437 INFO  CinemaSystem - undefined - User does not have proper permissions 
18:13:36.437 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:36.437 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:36.437 INFO  CinemaSystem - undefined - User does not have proper permissions 
18:13:36.446 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:36.446 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:36.446 INFO  CinemaSystem - undefined - User does not have proper permissions 
18:13:36.448 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:36.448 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:36.448 INFO  CinemaSystem - undefined - User does not have proper permissions 
18:13:36.451 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:36.451 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:36.451 INFO  CinemaSystem - undefined - User does not have proper permissions 
18:13:46.248 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:46.248 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:46.248 INFO  CinemaSystem - undefined - User does not have proper permissions 
18:13:46.249 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:46.249 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:46.249 INFO  CinemaSystem - undefined - User does not have proper permissions 
18:13:47.116 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:47.117 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:47.117 INFO  CinemaSystem - undefined - User does not have proper permissions 
18:13:47.118 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:47.118 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:47.118 INFO  CinemaSystem - undefined - User does not have proper permissions 
18:13:52.304 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:52.304 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:13:52.304 INFO  CinemaSystem - undefined - User does not have proper permissions 
18:14:05.237 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:14:05.237 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
18:14:05.237 INFO  CinemaSystem - undefined - User does not have proper permissions 
13:32:17.549 INFO  User - logout - The user admin tried to disconnect but was not connected in the first place. 
14:20:08.918 INFO  User - logout - The user admin tried to disconnect but was not connected in the first place. 
18:46:35.762 INFO  User - logout - The user admin tried to disconnect but was not connected in the first place. 
19:20:43.139 INFO  User - logout - The user admin tried to disconnect but was not connected in the first place. 
19:20:51.697 INFO  CinemaSystem - undefined - User does not have proper permissions 
19:24:37.865 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
19:24:45.054 INFO  CinemaSystem - undefined - The operation cannot be completed - the user is not connected to the system 
19:31:41.068 INFO  User - logout - The user admin tried to disconnect but was not connected in the first place. 
19:33:43.243 INFO  CinemaSystem - undefined - User does not have proper permissions 
19:33:44.302 INFO  CinemaSystem - undefined - User does not have proper permissions 
19:33:44.715 INFO  CinemaSystem - undefined - User does not have proper permissions 
19:33:44.884 INFO  CinemaSystem - undefined - User does not have proper permissions 
19:33:45.053 INFO  CinemaSystem - undefined - User does not have proper permissions 
19:33:49.191 INFO  CinemaSystem - undefined - User does not have proper permissions 
19:43:34.670 INFO  CinemaSystem - undefined - User does not have proper permissions 
